epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20077,2.22534,3.53195,2.4342,0.0297,0.19672,0.01778,0.00528,1.89733,3.30811,2.40628,0.0001,0.0001,0.0001
2,4.28602,1.93495,3.20757,2.19017,0.25108,0.29098,0.20175,0.08374,1.4419,2.32805,1.91038,0.000219274,0.000219274,0.000219274
3,5.33569,1.52321,2.2209,1.84694,0.59226,0.65482,0.62671,0.32807,1.34187,1.7943,1.72863,0.000337756,0.000337756,0.000337756
4,6.3888,1.3857,1.69856,1.6407,0.5943,0.77045,0.71849,0.40319,1.28228,2.65216,1.73797,0.000455446,0.000455446,0.000455446
5,7.43128,1.28472,1.29116,1.63657,0.56718,0.85215,0.74195,0.42047,1.25406,3.01734,1.73841,0.000572344,0.000572344,0.000572344
6,8.44098,1.27712,1.22434,1.75504,0.65819,0.82787,0.78721,0.47893,1.2492,2.07667,1.72491,0.00068845,0.00068845,0.00068845
7,9.4529,1.13695,1.03337,1.6574,0.69773,0.8262,0.80255,0.50457,1.17174,1.80004,1.73219,0.000803764,0.000803764,0.000803764
8,10.4784,1.11185,0.99076,1.62224,0.66223,0.85929,0.81416,0.5234,1.10163,2.29219,1.6717,0.000918286,0.000918286,0.000918286
9,11.4792,1.09684,0.93218,1.60164,0.75458,0.83586,0.83735,0.55015,1.11572,1.94656,1.63394,0.00103202,0.00103202,0.00103202
10,12.4543,1.02464,0.8935,1.56935,0.78518,0.82514,0.84693,0.54796,1.14896,1.63665,1.68921,0.00114495,0.00114495,0.00114495
11,13.4542,1.00726,0.84061,1.55283,0.76783,0.80874,0.82667,0.54451,1.11581,1.42959,1.60882,0.0012571,0.0012571,0.0012571
12,14.4382,1.02164,0.84373,1.55486,0.79116,0.8229,0.8465,0.57825,1.05704,1.403,1.62763,0.00136845,0.00136845,0.00136845
13,15.4396,0.96694,0.76886,1.55343,0.75816,0.79918,0.8306,0.54432,1.12387,1.56113,1.78006,0.00147902,0.00147902,0.00147902
14,16.4258,0.95608,0.7544,1.54529,0.75944,0.80874,0.82423,0.5584,1.05458,1.50676,1.65117,0.00158879,0.00158879,0.00158879
15,17.4114,1.01438,0.78354,1.53994,0.75327,0.7841,0.8045,0.53511,1.07674,1.4829,1.669,0.00169776,0.00169776,0.00169776
16,18.4316,0.98705,0.76881,1.56702,0.70458,0.77459,0.76406,0.48213,1.1503,1.40829,1.79853,0.00180595,0.00180595,0.00180595
