epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.25267,2.31955,3.51346,2.52591,0.02577,0.22034,0.01576,0.00401,1.94383,3.2568,2.62215,2e-05,2e-05,2e-05
2,6.43579,2.21796,3.46168,2.44068,0.03128,0.27966,0.0201,0.00597,1.86021,3.16431,2.55009,5.8812e-05,5.8812e-05,5.8812e-05
3,9.18618,2.09242,3.27185,2.47308,0.03836,0.35593,0.02607,0.00782,1.7272,2.99831,2.45064,9.604e-05,9.604e-05,9.604e-05
4,11.8855,1.99306,3.24338,2.29953,0.05619,0.58475,0.05809,0.02614,1.56394,2.73347,2.30418,0.000131684,0.000131684,0.000131684
5,14.5853,1.78074,3.01803,2.18532,0.35768,0.25424,0.23824,0.1064,1.42173,2.3392,2.12447,0.000165744,0.000165744,0.000165744
6,17.3017,1.68091,2.72049,1.99569,0.38171,0.44915,0.39834,0.20143,1.3676,1.87091,2.00543,0.00019822,0.00019822,0.00019822
7,20.5924,1.5193,2.36494,1.81308,0.50542,0.58026,0.55206,0.28011,1.32426,1.69852,1.91273,0.000229112,0.000229112,0.000229112
8,24.5592,1.4413,2.06514,1.83098,0.57761,0.65254,0.6293,0.35358,1.26176,2.12237,1.88564,0.00025842,0.00025842,0.00025842
9,28.5558,1.39332,1.75932,1.68068,0.58795,0.74576,0.66216,0.37775,1.25304,2.47025,1.93179,0.000286144,0.000286144,0.000286144
10,31.9719,1.38289,1.64694,1.73428,0.57,0.82009,0.65935,0.36467,1.28297,2.81468,2.0563,0.000312284,0.000312284,0.000312284
